,dim_partner_partner_id,dim_partner_partner_name,cuisine,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,Orders,acumulado,new_ept,new_ept_fixed,partner_id,partner_name,strategy,buffer,STRATEGY2
113,222229,papa john's pizza - peñuelas,pizzas,0.1419457735,0.08732876712,0.05501618123,17.89314195,627,0.2858215578,26,26,222229,Papa John's Pizza - Peñuelas,COMPUTED,0,OPS_TEMPORARY
114,264652,papa john's pizza - linares,pizzas,0.3167202572,0.4795737123,0.0678807947,17.45016077,622,0.2918873058,25,25,264652,Papa John's Pizza - Linares,OPS_PERMANENT,0,OPS_PERMANENT
115,354027,melt pizzas - talca las rastras,pizzas,0.1655844156,0.1899827288,0.04612850082,20.41558442,616,0.2978945418,28,28,354027,Melt Pizzas - Talca Las Rastras,COMPUTED,1,OPS_TEMPORARY
116,135846,little caesars pizza bellavista,pizzas,0.2598039216,0.1748120301,0.09830508475,16.66176471,612,0.3038627698,25,25,135846,Little Caesars Pizza Bellavista,COMPUTED,0,OPS_TEMPORARY
117,141502,papa john's salvador,pizzas,0.07868852459,0.1280701754,0.04362416107,17.02131148,610,0.3098114937,25,25,141502,Papa John's Salvador,OPS_TEMPORARY,2,OPS_TEMPORARY
118,341841,papa johns pizza  - nos,pizzas,0.1688741722,0.1128404669,0.1076388889,19.86754967,604,0.3157017056,28,28,341841,Papa Johns Pizza  - Nos,COMPUTED,0,OPS_TEMPORARY
119,133742,papa john's pizza - talca,pizzas,0.1395348837,0.1781305115,0.03242320819,22.06478405,602,0.3215724135,30,30,133742,Papa John's Pizza - Talca,COMPUTED,2,OPS_TEMPORARY
120,311199,little caesars pizza independencia 403,pizzas,0.1913477537,0.1503006012,0.115248227,13.35274542,601,0.3274333694,21,21,311199,Little Caesars Pizza Independencia 403,COMPUTED,0,OPS_TEMPORARY
121,147549,papa john's pizza - gran avenida sur,pizzas,0.1172529313,0.1111111111,0.07491289199,16.52596315,597,0.3332553173,25,25,147549,Papa John's Pizza - Gran Avenida Sur,COMPUTED,2,OPS_TEMPORARY
122,115154,little caesars pizza maipu,pizzas,0.1390284757,0.1106796117,0.1135972461,12.99329983,597,0.3390772651,21,21,115154,Little Caesars Pizza Maipu,OPS_PERMANENT,0,OPS_PERMANENT
123,264655,papa john's pizza - la calera,pizzas,0.2483108108,0.2011070111,0.03386809269,21.68412162,592,0.344850453,30,30,264655,Papa John's Pizza - La Calera,COMPUTED,1,OPS_TEMPORARY
124,116112,melt pizzas - plaza brasil,pizzas,0.3116438356,0.1812865497,0.08880994671,22.9760274,584,0.3505456248,31,30,116112,Melt Pizzas - Plaza Brasil,COMPUTED,0,OPS_TEMPORARY
